"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
dass_shiver_hands;dp_next;;radio;"Jeg oplevede at ryste (fx på hænderne)";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant was shaking"
dass_phys_en;dp_next;;radio;"Jeg følte, at jeg brugte en masse psykisk energi";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant used a lot of energy"
dass_embarras;dp_next;;radio;"Jeg var bekymret for situationer, hvor jeg kunne gå i panik og gøre mig selv til grin";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"The participant was afraid of panicking and embarrassing him-/herself"
dass_excitement;dp_next;;radio;"Jeg følte, at jeg ikke havde noget at se frem til";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"het participant didn't have anything to look forward to"
dass_uneasy;dp_next;;radio;"Jeg følte mig urolig og rastløs";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant felt restless"
dass_restless;dp_next;;radio;"Jeg havde svært ved at slappe af";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant couldn't relax"
dass_discouraged;dp_next;;radio;"Jeg følte mig modløs og trist";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant felt lost"
dass_interrupt;dp_next;;radio;"Jeg kunne ikke holde ud at blive afbrudt, når jeg var i gang med noget";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant couldn't tolerate interruptions"
dass_panic;dp_next;;radio;"Jeg følte mig tæt på panik";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant felt like panicking"
dass_lack_enthus;dp_next;;radio;"Jeg kunne ikke være entusiastisk over noget som helst";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant didn't feel enthusiastic about anything"
dass_worthless;dp_next;;radio;"Jeg følte mig ikke meget værd som person";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"het participant felt worthless"
dass_sensitive;dp_next;;radio;"Jeg følte mig noget nærtagende";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"The participant felt sensitive"
dass_heart_rhythm;dp_next;;radio;"Jeg var opmærksom på min hjerterytme, selvom jeg ikke anstrengte mig fysisk (fx fornemmelse af øget puls, overspring af hjerteslag)";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant was aware of his/her heart rhythm"
dass_scared;dp_next;;radio;"Jeg følte mig bange uden nogen rimelig grund";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant felt scared for no reason"
dass_meaningless;dp_next;;radio;"Jeg følte, at livet var meningsløst";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant felt life was hopeless"
mental_contact;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvis dette spørgeskema har vækket bekymring eller ubehag, anbefaler vi, at du taler med nogen og søger støtte, fx hos din egen læge eller en anden sundhedsprofessionel.</span><br><br><span style=""font-weight: normal;"">Hvis du er i akut krise eller har tanker om at skade dig selv, skal du søge hjælp med det samme.</span><br><span style=""font-weight: normal;"">Du kan kontakte Livslinien: </span>70 201 201<span style=""font-weight: normal;""> eller ringe </span>112<span style=""font-weight: normal;""> ved akut fare.</span></p></div>";;;;;;;;;;;;;
dass_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Stress i dagligdagen</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
dass21_compl_time;dp_next;;calc;;"datediff([family_end],[dass_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
pss_intro;dp_next;;descriptive;"<div class=""rich-text-field-label""><p>Spørgsmålene i dette skema drejer sig om dine følelser og tanker <span style=""text-decoration: underline;"">inden for den sidste måned</span>. Ved hvert punkt skal du angive, hvor ofte du har haft den pågældende følelse eller tanke.</p> <p> </p> <p>Hvor ofte inden for den sidste måned...</p></div>";;;;;;;;;;;;;
pss_upset;dp_next;;radio;"er du blevet oprevet over noget, der skete uventet?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt frustrated the past month"
pss_lack_control;dp_next;;radio;"har du følt, at du var ude af stand til at kontrollere de betydningsfulde ting i dit liv?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt lack of control the past month"
pss_nervous;dp_next;;radio;"har du følt dig nervøs og ""stresset""?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt nervous the past month"
pss_handle_probs;dp_next;;radio;"har du følt dig sikker på dine evner til at klare dine personlige problemer?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt confident the past month"
pss_as_plan;dp_next;;radio;"har du følt, at tingene gik som du ønskede det?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt that things went as planned the past month"
pss_resilience;dp_next;;radio;"har du oplevet, at du ikke kunne overkomme alt det du skulle?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt lack of capacity the past month"
pss_handle_irri;dp_next;;radio;"har du været i stand til at håndtere ting, som irriterer dig?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt able to manage every-day-life the past month"
pss_control;dp_next;;radio;"har du følt, at du havde styr på tingene?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt in control the past month"
pss_lack_influ;dp_next;;radio;"er du blevet vred over ting, du ikke havde indflydelse på?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often the participant felt angry due to lack of control the past month"
pss_cumul_prob;dp_next;;radio;"har du følt, at vanskelighederne hobede sig så meget op, at du ikke kunne klare dem?";"0, Aldrig | 1, Næsten aldrig | 2, Ind imellem | 3, Ret ofte | 4, Meget ofte";;;;;;;;;;mg_4ce6d7;;"how often did the participant felt overwhelmed by tasks in the past month"
stress_contact;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvis dette spørgeskema har fået dig til at reflektere over dit stressniveau eller givet anledning til bekymring, anbefaler vi, at du taler med nogen og søger støtte, fx hos din egen læge, en psykolog eller en anden person, du har tillid til.</span><br><br><span style=""font-weight: normal;"">Hvis du oplever vedvarende stresssymptomer, er det vigtigt at reagere i tide og søge hjælp.</span></p></div>";;;;;;;;;;;;;
pss_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Søvn</span><br><br></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
pss_compl_time;dp_next;;calc;;"datediff([dass_end],[pss_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
sleep_problems_intro;dp_next;;descriptive;"De næste spørgsmål handler om din søvn og kan hjælpe med at vurdere risiko for søvnrelaterede vejrtrækningsproblemer (fx søvnapnø). Vælg det svar, der passer bedst.";;;;;;;;;;;;;
berlin_snor;dp_next;;radio;"Snorker du? ";"1, Ja | 0, Nej | 99, Ved ikke";;;;;;;;LV;;;;"Does the participant snor"
berlin_snor_volume;dp_next;;radio;"Din snorken er:";"1, Lidt højere end din vejrtrækning|2, Så højt som tale|3, Højere end tale";;;;;;"([berlin_snor] = ""1"")";;LV;;;;"the volume of the participant's snor"
berlin_snor_freq;dp_next;;radio;"Hvor ofte snorker du?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1-2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;"([berlin_snor] = ""1"")";;;;mg_0dc66b;;"how often does the participant snor"
berlin_bother;dp_next;;radio;"Har din snorken generet andre?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1-2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;"([berlin_snor] = ""1"")";;;;mg_0dc66b;;"did the snor ever disturb the participant"
berlin_breath;dp_next;;radio;"Har andre observeret at du holder op med at trække vejret under søvn?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1-2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;;;;;mg_0dc66b;;"Does the participant stop breathing during sleep"
berlin_tired;dp_next;;radio;"Hvor ofte føler du dig træt eller udmattet efter søvn?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1-2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;;;;;mg_0dc66b;;"how often does the participant feel tired"
berlin_tired_daytime;dp_next;;radio;"I dine vågne timer, hvor ofte føler du dig træt, udmattet eller ikke på toppen?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1-2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;;;;;mg_0dc66b;;"how often does the participant feel tired during the day"
berlin_sleep_driving;dp_next;;radio;"Er du nogensinde faldet i søvn, eller været ved at falde i søvn, mens du kørte bil?";"1, Ja | 0, Nej";;;;;;;;LV;;;;"did the participant ever fall asleep while driving"
berlin_sleep_driv_freq;dp_next;;radio;"Sker det ofte?";"1, Næsten hver dag | 2, 3-4 gange om ugen | 3, 1- 2 gange om ugen | 4, 1-2 gange om måneden | 5, Sjældent eller aldrig";;;;;;"([berlin_sleep_driving] = ""1"") and ([participate] = '1')";;LV;;;;"does sleeping while driving happen often"
berlin_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Døgnrytme</span><br><br></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
berlin_complt_time;dp_next;;calc;;"datediff([pss_end],[berlin_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
intro_umtcq;dp_next;;descriptive;"<div class=""rich-text-field-label""><p>De næste spørgsmål handler om din søvn på arbejds- og fridage. Angiv et <span style=""text-decoration: underline;"">gennemsnitligt skøn</span> over<br>dit ""normale"" søvnmønster over de seneste 6 uger, hvor du kunne følge dine sædvanlige rutiner.</p></div>";;;;;;;;;;;;;
umctq_shift;dp_next;;radio;"<div class=""rich-text-field-label""><p>Har du haft skifteholds- eller natarbejde i de seneste 3 måneder?</p></div>";"1, Ja|2, Nej";;;;;;;;LV;;;;
umctq_text;dp_next;;descriptive;"<div class=""rich-text-field-label""><p>Svar venligst på alle følgende spørgsmål, også selvom du ikke er i arbejde eller arbejder 7 dage om<br>ugen.</p></div>";;;;;;;;;;;;;
umctq_sleep_hr;dp_next;;text;;;;integer;0;24;;;;;;;;" @PLACEHOLDER=""time"""
umctq_sleep_min;dp_next;;text;;;;integer;0;60;;;;;;;;" @PLACEHOLDER=""min"""
umctq_wake_hr;dp_next;;text;;;;integer;0;24;;;;;;;;" @PLACEHOLDER=""time"""
umctq_wake_min;dp_next;;text;;;;integer;0;60;;;;;;;;" @PLACEHOLDER=""min"""
umctq_workday;dp_next;;descriptive;"<div class=""rich-text-field-label""><div class=""timewrap""> <div class=""timelabel""> <div class=""timewrap""> <div class=""timelabel""><span style=""font-size: 10pt;""><strong>På ARBEJDSDAGE/HVERDAGE</strong></span></div> <div class=""timelabel""><span style=""font-size: 10pt; font-weight: normal;"">falder jeg normalt i søvn kl.</span></div> <div class=""timeinputs""><br>    {umctq_sleep_hr} <span class=""timesep"">:</span> {umctq_sleep_min}<br>  <span style=""font-weight: normal;""> (Dette er IKKE, når du går i seng, men i stedet når du falder i søvn)</span><br><span style=""font-weight: normal;""> </span></div> <div class=""timehint""> </div> <div class=""timelabel""><span style=""font-size: 10pt; font-weight: normal;"">vågner jeg normalt kl.</span></div> <div class=""timeinputs""><br>    {umctq_wake_hr} <span class=""timesep"">:</span> {umctq_wake_min}<br>   <span style=""font-weight: normal;"">(Dette er IKKE, når du står op, men i stedet når du vågner)</span><br>  </div> <div class=""timehint""> </div> </div> </div> </div></div>";;;;;;;;;;;;;
umctq_sleep_hr_we;dp_next;;text;;;;integer;0;24;;;;;;;;" @PLACEHOLDER=""time"""
umctq_sleep_min_we;dp_next;;text;;;;integer;0;60;;;;;;;;" @PLACEHOLDER=""min"""
umctq_wake_hr_we;dp_next;;text;;;;integer;0;24;;;;;;;;" @PLACEHOLDER=""time"""
umctq_wake_min_we;dp_next;;text;;;;integer;0;60;;;;;;;;" @PLACEHOLDER=""min"""
umctq_workday_2;dp_next;;descriptive;"<div class=""rich-text-field-label""><div class=""timewrap""> <div class=""timelabel""> <div class=""timewrap""> <div class=""timelabel""><span style=""font-size: 10pt;""><strong>På FRIDAGE - Hvis jeg IKKE bruger vækkeur</strong></span></div> <div class=""timelabel""><span style=""font-size: 10pt; font-weight: normal;"">falder jeg normalt i søvn kl.</span></div> <div class=""timeinputs""><br>    {umctq_sleep_hr_we} <span class=""timesep"">:</span> {umctq_sleep_min_we}<br>    <span style=""font-weight: normal;"">(Dette er IKKE, når du går i seng, men i stedet når du falder i søvn)</span><br><span style=""font-weight: normal;""> </span></div> <div class=""timehint""> </div> <div class=""timelabel""><span style=""font-size: 10pt; font-weight: normal;"">vågner jeg normalt kl.</span></div> <div class=""timeinputs""><br>    {umctq_wake_hr_we} <span class=""timesep"">:</span> {umctq_wake_min_we}<br><span style=""font-weight: normal;"">    (Dette er IKKE, når du står op, men i stedet når du vågner)</span><br>  </div> <div class=""timehint""> </div> </div> </div> </div></div>";;;;;;;;;;;;;
circadian_var;dp_next;;radio;"<div class=""rich-text-field-label""><p>Over en typisk uge (både hverdag og weekenddage), hvor meget varierer dine senge- og stå-op-tider ?<br><br></p> <p><em><span style=""font-weight: normal;"">Angiv den største forskel, der typisk er mellem to ugedage. Hvis dine sengetider varierer mest, er det kun den største timeforskel i sengetider, du skal angive, selvom dine stå-op-tider varierer næsten lige så meget. Modsat hvis dine stå-op-tider varierer mest</span></em></p></div>";"1, Under 1 times forskel mellem ugedage i senge eller stå-op-tider|2, 1-2 timers forskel mellem ugedage i senge eller stå-op-tider|3, 2-3 timers forskel mellem ugedage i senge eller stå-op-tider|4, 3-4 timers forskel mellem ugedage i senge eller stå-op-tider|5, 4-5 timers forskel mellem ugedage i senge eller stå-op-tider|6, mere end 5 timers forskel mellem ugedage i senge eller stå-op-tider";;;;;;;;LV;;;;
meq_item;dp_next;;radio;"<div class=""rich-text-field-label""><p>Man taler om 'morgenmennesker' og 'aftenmennesker' også kaldet A- og B-mennesker. Hvilken gruppe tror<br>du, du selv hører til?</p> <p> </p></div>";"6, Afgjort morgenmenneske|4, Mere morgen- end aftenmenneske|2, Mere aften- end morgenmenneske|1, Afgjort aftenmenneske|999, Ved ikke";;;;;;;;;;;;
mctq_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Fysisk aktivitet</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
mctq_compl_time;dp_next;;calc;;"datediff([berlin_end],[mctq_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
trans_main;dp_next;;radio;"Hvilken transportform bruger du oftest i din hverdag?";"1, Til fods|2, På cykel|3, I bil / på motorcykel, knallert eller scooter|4, Offentlig transport";;;;;;;;LV;;;;
work_activity;dp_next;;radio;"Hvilken af følgende beskriver bedst din normale arbejdsdag?";"1, Mest stillesiddende (kontor/pc, meget lidt gang)|2, Blandet (noget stillesiddende, men også en del stå/gang)|3, Mest stående/gående (meget gang, men ikke tungt fysisk arbejde)|4, Fysisk krævende (tungt arbejde/løft, høj fysisk belastning)|5, Jeg er ikke på arbejdsmarkedet";;;;;;;;LV;;;;
leisure_activity_cat;dp_next;;radio;"Hvilken af følgende beskriver bedst din fritid?";"1, Jeg sidder som regel ned (fx læser, ser tv/streaming, går i biografen) og bruger fritiden på overvejende stillesiddende aktiviteter|2, Jeg går ture, cykler lidt eller er fysisk aktiv mindst 4 timer om ugen (fx let havearbejde, husligt arbejde, bordtennis eller bowling)|3, Jeg dyrker motion/sport mindst 3 gange om ugen. Hvis du ikke dyrker sport, men ofte laver tungt havearbejde eller andet tungt fysisk arbejde i fritiden, hører du også til her|4, Jeg dyrker konkurrencesport eller træner meget hårdt (fx langdistanceløb) flere gange om ugen";;;;;;;;LV;;;;
ipaq_intro;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Fysisk aktivitet</span><br><br></p></div>";descriptive;"<div class=""rich-text-field-label""><p>Vi ønsker at undersøge de forskellige former for fysisk aktivitet, mennesker udfører i dagligdagen. Følgende Spørgsmål vedrører den tid, du<span style=""text-decoration: underline;""> i løbet af de sidste 7 dage</span> har tilbragt med fysisk aktivitet. Du bedes besvare hvert spørgsmål, selvom du ikke selv synes, at du er en aktiv person. <br><span style=""font-weight: normal;"">Angiv venligst aktiviteter på dit arbejde, aktiviteter som udgør en del af arbejdet hjemme eller i haven, aktiviteter for at komme fra et sted til et andet, og i fritiden aktiviteter i forbindelse med afslapning, motion eller idræt.</span><br><br>Angiv alle meget anstrengende aktiviteter, som du udførte <span style=""text-decoration: underline;"">de sidste 7 dage</span>. <span style=""font-weight: normal;"">Ved meget anstrengende fysisk aktivitet forstås aktiviteter, der kræver hård fysisk anstrengelse, som får dig til at trække vejret meget mere end normalt. Angiv kun fysiske aktiviteter, som du har udført i <span style=""text-decoration: underline;"">mindst 10 minutter ad gangen.</span></span></p></div>";;;;;;;;;;;;;
ipaq_active_days;dp_next;;dropdown;"Hvor mange dage har du de sidste 7 dage udført meget anstrengende fysiske aktiviteter som løftet tunge ting, gravet, aerobics eller cyklet hurtigt?";"1, 1 dag om ugen|2, 2 dage om ugen|3, 3 dage om ugen|4, 4 dage om ugen|5, 5 dage om ugen|6, 6 dage om ugen|7, 7 dage om ugen|0, Ingen dage om ugen";;;;;;;;LV;;;;"number of days the participant has been active during the last week"
ipaq_active_time;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor meget tid tilbringer du som regel med </span>meget anstrengende fysiske aktiviteter<span style=""font-weight: normal;""> på en af disse dage? (Skriv tid i timer og minutter pr. dag)</span></p> <table style=""border-collapse: collapse; width: 30.2128%; height: 48px;"" border=""1""><colgroup><col style=""width: 27.5497%;""><col style=""width: 72.4503%;""></colgroup> <tbody> <tr style=""height: 24px;""> <td style=""border-style: hidden;"">Timer </td> <td style=""border-style: hidden;"">Minutter </td> </tr> <tr style=""height: 24px;""> <td style=""border-style: hidden;"">{ipaq_hours}</td> <td style=""border-style: hidden;"">{ipaq_minutes}</td> </tr> </tbody> </table> <p> </p></div>";;"Skriv tiden i timer og minutter (fx 1,2 svarende til 1 time og 20 minutter)";;;;;"([ipaq_active_days]>0) and ([participate] = '1')";;LV;;;;"number of days the participant spend on vigorous physical activity"
ipaq_hours;dp_next;;text;"Timer ";;;integer;0;12;;;;;;;;
ipaq_minutes;dp_next;;text;"Minutter ";;;integer;;;;;;;;;;
ipaq_moderate_intro;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Fysisk aktivitet</span><br><br></p></div>";descriptive;"<div class=""rich-text-field-label""><p>Angiv alle moderate aktiviteter, som du udførte <span style=""text-decoration: underline;"">de sidste 7 dage</span>. <span style=""font-weight: normal;"">Ved moderat fysisk aktivitet forstås aktiviteter, der kræver moderat fysisk anstrengelse, som får dig til at trække vejret noget mere end normalt. Angiv kun fysiske aktiviteter, som du har udført i <span style=""text-decoration: underline;"">mindst 10 minutter ad gangen.</span></span></p></div>";;;;;;;;;;;;;
ipaq_moderate_days;dp_next;;dropdown;"<div class=""rich-text-field-label""><p>Hvor mange dage har du de sidste 7 dage udført moderate fysiske aktiviteter som båret lette genstande, cyklet i regelmæssigt tempo eller spillet tennisdouble? Medregn ikke gåture.</p></div>";"1, 1 dag om ugen|2, 2 dage om ugen|3, 3 dage om ugen|4, 4 dage om ugen|5, 5 dage om ugen|6, 6 dage om ugen|7, 7 dage om ugen|0, ingen dage om ugen";;;;;;;;LV;;;;"number of days the participant spend on moderate physical activity"
ipaq_moderate_time;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor meget tid tilbringer du som regel med </span>moderate fysiske aktiviteter<span style=""font-weight: normal;""> på en af disse dage? (Skriv tid i timer og minutter pr. dag)</span></p> <div style=""width: 100%; max-width: 100%;""> <div style=""display: block; width: 100%; margin-bottom: 6px;""> <p> </p> <table style=""border-collapse: collapse; width: 37.3914%; height: 47.5px;"" border=""1""><colgroup><col style=""width: 47.6071%;""><col style=""width: 52.3929%;""></colgroup> <tbody> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">Timer </td> <td style=""border-style: hidden;"">Minutter </td> </tr> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">{ipaq_moderate_hours}</td> <td style=""border-style: hidden;"">{ipaq_moderate_minutes}</td> </tr> </tbody> </table> </div> </div> <p> </p></div>";;"Skriv tiden i timer og minutter (fx 1,2 svarende til 1 time og 20 minutter)";;;;;([ipaq_moderate_days]>0);;LV;;;;"time spend on moderate physical activity"
ipaq_moderate_hours;dp_next;;text;;;;integer;0;12;;;;;;;;
ipaq_moderate_minutes;dp_next;;text;;;;integer;0;60;;;;;;;;
ipaq_walk_intro;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Fysisk aktivitet</span><br><br></p></div>";descriptive;"<div class=""rich-text-field-label""><p>Angiv den tid de <span style=""text-decoration: underline;"">sidste 7 dage</span>, du tilbragte med gåture. <span style=""font-weight: normal;"">Dette er inklusive gåture på arbejdet eller hjemme, gåture i forbindelse med rejser fra et sted til et andet, og alle andre gåture kun i forbindelse med afslapning, idræt, motion eller fritid.</span></p></div>";;;;;;;;;;;;;"ohw many days the participant spend on walking the past week"
ipaq_walk_days;dp_next;;dropdown;"Hvor mange dage har du de sidste 7 dage gået mindst 10 minutter ad gangen?";"1, 1 dag om ugen|2, 2 dage om ugen|3, 3 dage om ugen|4, 4 dage om ugen|5, 5 dage om ugen|6, 6 dage om ugen|7, 7 dage om ugen|0, ingen dage om ugen";;;;;;;;LV;;;;"number of days the participant walked at least 10 min"
ipaq_walk_time;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor meget tid tilbringer du som regel </span>på gåture<span style=""font-weight: normal;""> på en af disse dage? </span><span style=""font-weight: normal;"">(Skriv tid i timer og minutter pr. dag)</span></p> <div style=""width: 100%; max-width: 100%;""> <div style=""display: block; width: 100%; margin-bottom: 6px;""> <p> </p> <table style=""border-collapse: collapse; width: 52.1986%; height: 47.5px;"" border=""1""><colgroup><col style=""width: 45.2131%;""><col style=""width: 54.7869%;""></colgroup> <tbody> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">Timer </td> <td style=""border-style: hidden;"">Minutter </td> </tr> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">{ipaq_walk_hours}</td> <td style=""border-style: hidden;"">{ipaq_walk_minutes}</td> </tr> </tbody> </table> </div> </div> <p> </p></div>";;"Skriv tiden i timer og minutter (fx 1,2 svarende til 1 time og 20 minutter)";;;;;([ipaq_walk_days]>0);;LV;;;;"amount of time the participant spend on walking"
ipaq_walk_hours;dp_next;;text;;;;integer;0;12;;;;;;;;
ipaq_walk_minutes;dp_next;;text;;;;integer;0;60;;;;;;;;
ipaq_sitting_intro;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Fysisk aktivitet</span><br><br></p></div>";descriptive;"<div class=""rich-text-field-label""><p>Det sidste spørgsmål vedrører den tid, du har brugt på at sidde ned på ugedage <span style=""text-decoration: underline;"">de sidste 7 dage</span>. <span style=""font-weight: normal;"">Medregn tid tilbragt på arbejdet, hjemme, mens du laver kursusarbejde og i fritiden. Dette kan være inklusive den tid, du har tilbragt ved et skrivebord, med venner, når du har læst eller har siddet eller lagt dig for at se TV.</span></p></div>";;;;;;;([ipaq_walk_days]>0);;;;;;
